# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  70 0.695 4.33 0.0276465
  71 0.705 2.43 0.0151565
  72 0.715 0.96 0.0062107
  73 0.725 0.19 0.00131454
  74 0.735 2.55 0.0159177
  75 0.745 0.37 0.0025599
  76 0.755 1.84 0.0116092
  77 0.765 2.07 0.0132005
  78 0.775 1.98 0.0124915
  79 0.785 1.14 0.00716283
  80 0.795 3.3 0.0209342
  81 0.805 1.56 0.00996517
  82 0.815 3.12 0.0199821
  83 0.825 4.42 0.0278035
  84 0.835 1.33 0.00849462
  85 0.845 0.13 0.000813183
  86 0.855 0.63 0.00435875
  87 0.865 3.18 0.0202765
  88 0.875 2.19 0.013427
  89 0.885 0 0
  90 0.895 1.61 0.0105698
  91 0.905 6.68 0.0418355
  92 0.915 6.07 0.0386673
  93 0.925 0.64 0.00408297
  94 0.935 1.73 0.0111068
  95 0.945 1.27 0.00792427
  96 0.955 0 0
  97 0.965 6.46 0.0412621
  98 0.975 7.69 0.0485301
  99 0.985 3.83 0.0246701
  100 0.995 6.02 0.0377866
7000 100 7049.999999999998
  1 0.005 0 0
  2 0.015 0 0
  3 0.025 1.81 0.0118673
  4 0.035 5.47 0.0344643
  5 0.045 4.6 0.0289626
  6 0.055 1.28 0.00828668
  7 0.065 6.05 0.0384599
  8 0.075 2.48 0.0157439
  9 0.085 1.94 0.0119043
  10 0.095 6.04 0.0382355
  11 0.105 3.25 0.0209678
  12 0.115 3.08 0.0194811
  13 0.125 0 0
  14 0.135 0 0
  15 0.145 0.53 0.00328742
  16 0.155 3.25 0.0204331
  17 0.165 2.22 0.0143418
  18 0.175 0 0
  19 0.185 0 0
  20 0.195 2.45 0.0154328
  21 0.205 4.91 0.0311073
  22 0.215 1.64 0.0105532
  23 0.225 0 0
  24 0.235 0.4 0.00266397
  25 0.245 5.18 0.0325269
  26 0.255 3.69 0.0237187
  27 0.265 2.1 0.01327
  28 0.275 0.63 0.00394479
  29 0.285 0 0
  30 0.295 0.08 0.000553492
  31 0.305 12.96 0.0823524
  32 0.315 54.98 0.350324
  33 0.325 164.69 1.03908
  34 0.335 176.75 1.12214
  35 0.345 201.97 1.28481
  36 0.355 200.19 1.26579
  37 0.365 203.18 1.28987
  38 0.375 190.9 1.21452
  39 0.385 211.16 1.33349
  40 0.395 201 1.27664
  41 0.405 194.31 1.23951
  42 0.415 191.14 1.21121
  43 0.425 188.41 1.19453
  44 0.435 190.66 1.21095
  45 0.445 195.14 1.23549
  46 0.455 180.93 1.14863
  47 0.465 184.84 1.16954
  48 0.475 177.75 1.12544
  49 0.485 163.59 1.04201
  50 0.495 187.81 1.18933
  51 0.505 180.23 1.14572
  52 0.515 182.38 1.15664
  53 0.525 173.48 1.10171
  54 0.535 182.5 1.15702
  55 0.545 188.62 1.19264
  56 0.555 186.6 1.18474
  57 0.565 184.07 1.17282
  58 0.575 203.79 1.29063
  59 0.585 175.57 1.1167
  60 0.595 197.59 1.25168
  61 0.605 204.46 1.29669
  62 0.615 197.4 1.25223
  63 0.625 201.39 1.27728
