# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
280000 220.831 -2.5137 4640.05 -5612.77 -972.717 -6116.62 -7089.34
281000 221.418 23.8745 4652.38 -5510.97 -858.586 -6230.39 -7088.98
282000 213.707 -46.2239 4490.35 -5463.38 -973.027 -6116.2 -7089.22
283000 219.827 -12.8208 4618.94 -5483.46 -864.525 -6224.64 -7089.17
284000 217.4 -58.4621 4567.96 -5538.11 -970.154 -6119 -7089.16
285000 221.579 199.558 4655.76 -5461.8 -806.042 -6283.14 -7089.18
286000 218.586 -111.988 4592.88 -5589.6 -996.722 -6092.42 -7089.14
287000 226.754 -279.607 4764.5 -5603.64 -839.136 -6249.83 -7088.97
288000 221.119 31.4438 4646.09 -5514.66 -868.566 -6220.37 -7088.94
289000 220.774 41.5332 4638.84 -5537.57 -898.73 -6190.23 -7088.96
290000 217.541 -38.2028 4570.92 -5564.48 -993.559 -6095.54 -7089.1
291000 221.076 16.6602 4645.19 -5504.99 -859.795 -6228.84 -7088.64
292000 221.432 -144.266 4652.68 -5527.26 -874.582 -6214.29 -7088.87
293000 220.263 -94.9954 4628.1 -5509.26 -881.163 -6207.99 -7089.16
294000 217.404 -132.666 4568.03 -5535.25 -967.217 -6122.05 -7089.26
295000 218.476 -102.766 4590.55 -5465.24 -874.691 -6214.29 -7088.98
296000 218.181 -82.5169 4584.35 -5457.2 -872.847 -6216.09 -7088.94
297000 217.594 -141.55 4572.03 -5544.42 -972.392 -6116.53 -7088.92
298000 218.313 91.686 4587.13 -5475.12 -887.984 -6200.82 -7088.8
299000 218.305 64.6195 4586.97 -5492.53 -905.565 -6183.16 -7088.73
300000 224.623 218.633 4719.71 -5420.69 -700.982 -6387.63 -7088.62
301000 217.422 -101.558 4568.41 -5447.88 -879.471 -6209.04 -7088.51
302000 222.398 -147.977 4672.96 -5494.63 -821.669 -6266.83 -7088.49
303000 218.757 -75.1542 4596.46 -5484.32 -887.864 -6200.75 -7088.62
304000 218.672 5.23534 4594.68 -5461.56 -866.875 -6221.9 -7088.78
305000 219.584 -158.59 4613.84 -5478.42 -864.581 -6224.16 -7088.74
306000 217.816 -127.085 4576.7 -5462.56 -885.863 -6202.53 -7088.39
307000 218.215 78.8461 4585.07 -5508 -922.925 -6165.66 -7088.58
308000 216.987 271.652 4559.27 -5544.55 -985.276 -6103.13 -7088.4
309000 216.535 -207.344 4549.78 -5501.26 -951.477 -6136.99 -7088.46
310000 217.911 110.032 4578.7 -5474.36 -895.66 -6192.99 -7088.65
