# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050
  57 0.565 201.25 1.27595
  58 0.575 194.97 1.23804
  59 0.585 199.12 1.26247
  60 0.595 199.34 1.26448
  61 0.605 190.2 1.2068
  62 0.615 197.77 1.25103
  63 0.625 195.95 1.24625
  64 0.635 199.49 1.26307
  65 0.645 204.05 1.29745
  66 0.655 202.26 1.27865
  67 0.665 175.87 1.11921
  68 0.675 118.51 0.748901
  69 0.685 27.39 0.175686
  70 0.695 2.51 0.0164344
  71 0.705 1.98 0.0125778
  72 0.715 0.24 0.00153974
  73 0.725 0.08 0.000553492
  74 0.735 5.92 0.0375087
  75 0.745 3.79 0.0238069
  76 0.755 4.81 0.0305707
  77 0.765 0.58 0.00396107
  78 0.775 2.97 0.0188063
  79 0.785 3.14 0.0196893
  80 0.795 3.29 0.0209858
  81 0.805 2.42 0.0153978
  82 0.815 0.96 0.0061417
  83 0.825 2.81 0.0178718
  84 0.835 2.23 0.0140487
  85 0.845 0.08 0.000553492
  86 0.855 2.92 0.0184776
  87 0.865 0.32 0.00221397
  88 0.875 2.64 0.0165404
  89 0.885 0.04 0.000276746
  90 0.895 2.27 0.0144635
  91 0.905 3.17 0.0200348
  92 0.915 0.72 0.00467096
  93 0.925 4.45 0.0282007
  94 0.935 4.3 0.027094
  95 0.945 2.55 0.0162799
  96 0.955 0.58 0.0037196
  97 0.965 3.62 0.0229585
  98 0.975 2.07 0.0131487
  99 0.985 1.33 0.00835664
  100 0.995 2.45 0.0156398
7000 100 7049.999999999999
  1 0.005 0.97 0.00622814
  2 0.015 6.57 0.0409192
  3 0.025 2.9 0.0191154
  4 0.035 6.37 0.0402254
  5 0.045 4.33 0.0273533
  6 0.055 9.54 0.0607259
  7 0.065 3.05 0.0193426
  8 0.075 2.15 0.0137885
  9 0.085 2.93 0.0185123
  10 0.095 3.87 0.0244466
  11 0.105 0.05 0.000345933
  12 0.115 0 0
  13 0.125 0 0
  14 0.135 2.44 0.0151567
  15 0.145 0.56 0.00387445
  16 0.155 3.92 0.0243614
  17 0.165 2.08 0.0137009
  18 0.175 1.82 0.0116088
  19 0.185 3.99 0.0251389
  20 0.195 0.19 0.00131454
  21 0.205 5.12 0.0321636
  22 0.215 0.88 0.00589868
  23 0.225 0.1 0.000657368
  24 0.235 2.9 0.0183737
  25 0.245 0 0
  26 0.255 0.55 0.00363277
  27 0.265 5.07 0.0314554
  28 0.275 5.58 0.0355014
  29 0.285 0.8 0.00553492
  30 0.295 0.81 0.0052074
  31 0.305 17.6 0.112782
  32 0.315 97.8 0.621484
  33 0.325 164.34 1.04196
  34 0.335 180.85 1.14728
  35 0.345 203.63 1.28983
  36 0.355 195.76 1.24518
  37 0.365 189.25 1.19831
  38 0.375 196.26 1.24534
  39 0.385 194.39 1.22975
  40 0.395 178.86 1.13734
  41 0.405 187.47 1.19036
  42 0.415 176.63 1.12121
  43 0.425 199.5 1.25989
  44 0.435 176.8 1.12452
  45 0.445 206.09 1.30287
  46 0.455 180.97 1.15292
  47 0.465 183.46 1.1661
  48 0.475 182.36 1.15776
  49 0.485 175.6 1.11089
  50 0.495 160.76 1.02052
  51 0.505 182.2 1.15719
  52 0.515 186.68 1.18191
  53 0.525 168.12 1.06783
  54 0.535 191.94 1.21361
  55 0.545 177.96 1.12979
  56 0.555 189.56 1.20496
  57 0.565 193.42 1.23063
  58 0.575 194.64 1.23282
  59 0.585 201.65 1.27263
  60 0.595 185.08 1.17601
  61 0.605 197.57 1.2542
  62 0.615 194.24 1.23173
  63 0.625 196.5 1.24505
  64 0.635 204.08 1.29715
  65 0.645 206.55 1.30922
  66 0.655 198.17 1.26083
  67 0.665 184.57 1.17026
  68 0.675 145.38 0.918108
  69 0.685 49.56 0.317499
  70 0.695 5.94 0.0376471
  71 0.705 0.09 0.000622679
  72 0.715 1.67 0.010502
  73 0.725 2.14 0.0140987
  74 0.735 5.71 0.0358833
  75 0.745 2.39 0.0150177
  76 0.755 5.43 0.0342221
  77 0.765 4.82 0.0306917
  78 0.775 3.32 0.0211588
  79 0.785 1.44 0.00915218
  80 0.795 2.73 0.0171631
  81 0.805 0.26 0.00179885
  82 0.815 0.37 0.0025599
  83 0.825 2.26 0.0139113
  84 0.835 1.93 0.0125251
  85 0.845 3.03 0.0188765
  86 0.855 1.41 0.0092206
  87 0.865 0 0
  88 0.875 0.83 0.005501
  89 0.885 1.91 0.0117313
  90 0.895 0.48 0.00332095
  91 0.905 2.78 0.017509
  92 0.915 3.38 0.0217982
  93 0.925 8.1 0.0510218
  94 0.935 0.91 0.00600275
  95 0.945 2.42 0.0150183
  96 0.955 1.69 0.0107611
  97 0.965 2.57 0.0164528
  98 0.975 1.93 0.0121629
  99 0.985 0 0
  100 0.995 2.27 0.0144635
8000 100 7049.999999999999
  1 0.005 2.84 0.0178724
  2 0.015 3.54 0.0225602
  3 0.025 6.56 0.0413675
  4 0.035 5.82 0.0366271
  5 0.045 3.51 0.0228011
  6 0.055 5.95 0.0373368
  7 0.065 4.53 0.0288232
  8 0.075 2.45 0.0161055
  9 0.085 6.45 0.0405202
  10 0.095 1.15 0.00749074
  11 0.105 1.98 0.0124398
  12 0.115 0.1 0.000691865
  13 0.125 1.94 0.0123183
  14 0.135 1.06 0.00671283
  15 0.145 0 0
  16 0.155 2.16 0.0132194
  17 0.165 3.84 0.0246875
  18 0.175 2.94 0.0187712
  19 0.185 1.33 0.00846013
  20 0.195 1.73 0.0109861
  21 0.205 2.26 0.0139113
  22 0.215 3.84 0.0248428
  23 0.225 2.57 0.0160561
  24 0.235 0.33 0.00228316
  25 0.245 0 0
  26 0.255 1.13 0.00719713
  27 0.265 4.37 0.0274058
  28 0.275 4.39 0.0279236
  29 0.285 2.2 0.0142206
  30 0.295 2.51 0.015641
  31 0.305 29.35 0.186901
  32 0.315 117.96 0.751218
  33 0.325 186.3 1.1754
  34 0.335 180.8 1.14859
  35 0.345 201.86 1.28267
  36 0.355 202.2 1.2789
  37 0.365 193.38 1.22738
  38 0.375 191.98 1.22463
  39 0.385 192.35 1.21736
  40 0.395 177.78 1.12392
  41 0.405 179.48 1.14099
  42 0.415 184.49 1.1701
  43 0.425 193.76 1.22599
  44 0.435 176.43 1.12195
  45 0.445 194.74 1.23167
  46 0.455 177.62 1.12697
  47 0.465 168.17 1.07639
  48 0.475 174.81 1.10365
  49 0.485 170.79 1.08372
  50 0.495 155.07 0.98239
  51 0.505 170.16 1.07993
  52 0.515 180.9 1.15042
  53 0.525 164.51 1.04406
  54 0.535 180.07 1.13476
  55 0.545 170.68 1.08296
  56 0.555 181.68 1.15929
  57 0.565 194.81 1.23259
  58 0.575 188.09 1.19432
  59 0.585 192.24 1.21615
  60 0.595 180.97 1.15191
  61 0.605 189.25 1.2053
  62 0.615 211.2 1.33636
  63 0.625 193.19 1.22757
  64 0.635 204.59 1.2958
  65 0.645 196.71 1.2482
  66 0.655 198.49 1.25636
  67 0.665 197.98 1.25702
  68 0.675 165.44 1.04679
  69 0.685 76.6 0.488159
  70 0.695 11.33 0.071489
  71 0.705 2.19 0.0141169
  72 0.715 0.51 0.00328704
  73 0.725 5.03 0.0314891
  74 0.735 3.36 0.0216598
  75 0.745 4.52 0.0285816
  76 0.755 7.65 0.0486501
  77 0.765 4.56 0.0288583
  78 0.775 1.37 0.00875412
  79 0.785 1.2 0.00781943
  80 0.795 1.8 0.0112117
  81 0.805 0 0
