# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
182000 -8.77076e-15 1.11022e-14 3.55271e-15 -8.48053e-20 1.07348e-19 3.43515e-20
183000 8.43769e-15 -1.24345e-14 9.32587e-15 8.15849e-20 -1.2023e-19 9.01727e-20
184000 -1.9984e-15 -3.33067e-15 4.88498e-15 -1.93227e-20 -3.22045e-20 4.72333e-20
185000 1.33227e-15 1.77636e-15 -3.77476e-15 1.28818e-20 1.71758e-20 -3.64985e-20
186000 -9.10383e-15 3.55271e-15 -5.55112e-16 -8.80258e-20 3.43515e-20 -5.36742e-21
187000 6.21725e-15 -5.77316e-15 7.10543e-15 6.01152e-20 -5.58212e-20 6.8703e-20
188000 7.99361e-15 5.10703e-15 4.88498e-15 7.72909e-20 4.93803e-20 4.72333e-20
189000 4.88498e-15 -2.66454e-15 7.88258e-15 4.72333e-20 -2.57636e-20 7.62174e-20
190000 7.99361e-15 2.22045e-16 -1.14353e-14 7.72909e-20 2.14697e-21 -1.10569e-19
191000 7.54952e-15 3.10862e-15 1.77636e-15 7.2997e-20 3.00576e-20 1.71758e-20
192000 7.10543e-15 7.77156e-16 3.55271e-15 6.8703e-20 7.51439e-21 3.43515e-20
193000 -4.44089e-15 9.99201e-16 -8.65974e-15 -4.29394e-20 9.66136e-21 -8.37318e-20
194000 6.66134e-15 1.77636e-15 1.02141e-14 6.44091e-20 1.71758e-20 9.87606e-20
195000 2.77556e-16 8.65974e-15 1.10467e-14 2.68371e-21 8.37318e-20 1.06812e-19
196000 -1.22125e-15 -8.88178e-15 0 -1.18083e-20 -8.58788e-20 0
197000 -4.44089e-15 3.33067e-16 7.10543e-15 -4.29394e-20 3.22045e-21 6.8703e-20
198000 -2.66454e-15 4.44089e-15 -9.76996e-15 -2.57636e-20 4.29394e-20 -9.44667e-20
199000 -8.43769e-15 5.21805e-15 4.21885e-15 -8.15849e-20 5.04538e-20 4.07924e-20
200000 2.66454e-15 1.77636e-15 -2.66454e-15 2.57636e-20 1.71758e-20 -2.57636e-20
